title,address,city,state,country,price,bedrooms,bathrooms,sqft,property_type,amenities,description,virtual_tour_url
Tech Worker Special,555 Domain Drive #1208,Austin,TX,USA,475000,2,2,1300,condo,near tech campus;pool;gym;work from home office;pet friendly,Perfect for tech professionals. Located near major tech campuses. Modern finishes with dedicated office space. Building amenities include pool and 24-hour gym. Pet-friendly with dog park on-site.,https://example.com/tour/austin4
Golf Course Living,666 Fairway Lane,Denver,CO,USA,925000,4,3.5,3400,single_family,golf course views;clubhouse access;upgraded kitchen;3-car garage;patio,Premier golf course community home. Backs to 18th fairway with mountain backdrop. Gourmet kitchen with Viking appliances. Main floor master suite. Oversized 3-car garage. Club membership available.,https://example.com/tour/denver4
Investor Opportunity,777 Northeast 2nd Avenue,Miami,FL,USA,385000,2,2,1200,condo,rental income;near beach;renovated;low HOA;parking,Great investment property in up-and-coming neighborhood. Recently renovated with modern finishes. Strong rental history. Low HOA fees. Walking distance to beach and Wynwood Arts District.,https://example.com/tour/miami5
Lake Travis Oasis,888 Lakeview Drive,Austin,TX,USA,1295000,4,3.5,3800,single_family,lake access;boat dock;pool;outdoor living;sunset views,Stunning Lake Travis waterfront home. Private boat dock and lake access. Infinity pool overlooking water. Multiple outdoor living spaces. Gourmet kitchen opens to great room. Master suite with lake views.,https://example.com/tour/austin5
Downtown Walkable,999 Broadway,Denver,CO,USA,595000,3,2.5,2100,townhouse,walkable;rooftop deck;modern;garage;near transit,Modern townhome in heart of downtown. Walk to work and entertainment. Open concept main floor. Rooftop deck with city and mountain views. Attached 2-car garage. Light rail station two blocks away.,https://example.com/tour/denver5
Coral Gables Classic,1010 Granada Boulevard,Miami,FL,USA,1650000,5,4,4000,single_family,historic district;pool;tropical landscaping;updated;guest suite,Mediterranean-style home in prestigious Coral Gables. Original architectural details with modern updates. Chef's kitchen with butler's pantry. Saltwater pool surrounded by lush tropical landscaping. Separate guest suite.,https://example.com/tour/miami6
Barton Creek Beauty,1111 Barton Creek Boulevard,Austin,TX,USA,775000,3,3,2600,single_family,greenbelt access;deck;office;renovated;near trails,Sophisticated home near Barton Creek Greenbelt. Completely renovated with designer finishes. Home office with built-ins. Large deck perfect for entertaining. Direct access to hiking and biking trails.,https://example.com/tour/austin6
Cherry Creek Charm,1212 Cherry Creek Drive,Denver,CO,USA,1150000,4,3.5,3200,single_family,premium location;shopping;dining;updated;patio,Elegant home in Denver's most desirable neighborhood. Walking distance to Cherry Creek shopping and dining. Hardwood floors throughout. Updated kitchen with marble counters. Private backyard with covered patio.,https://example.com/tour/denver6
Starter Home Deal,1313 Palm Avenue,Miami,FL,USA,295000,2,1,950,condo,affordable;near metro;community pool;updated kitchen;parking,Perfect starter home or investment. Updated kitchen and bathroom. Community pool and recreation area. Near Metrorail for easy commuting. Low HOA fees. Move-in ready condition.,https://example.com/tour/miami7
New Construction Modern,1414 Rainey Street,Austin,TX,USA,625000,2,2.5,1650,townhouse,brand new;rooftop;walkable;energy efficient;warranty,Brand new construction in trendy Rainey Street district. Modern design with high-end finishes. Energy efficient with smart home features. Private rooftop terrace. Walk to bars and restaurants. Builder warranty included.,https://example.com/tour/austin7
